Product_ID,Product_Name,Item_Type,Category_ID,Unit_Price,Stock_Quantity,Description,Supplier_ID
1,iPhone 14,Physical,3,999.99,50,Latest Apple smartphone,1
2,Samsung Galaxy S22,Physical,3,799.99,30,Newest Samsung smartphone,1
3,Dell Inspiron Laptop,Physical,4,499.99,40,Dell Inspiron series laptop,3
4,Sony Bravia TV,Physical,1,1199.99,20,Sony 55-inch 4K OLED TV,2
5,Blender,Physical,2,49.99,100,Electric kitchen blender,2
6,Leather Jacket,Physical,6,149.99,25,Premium leather jacket for men,5
7,Electric Kettle,Physical,2,29.99,60,Electric kettle with temperature control,2
8,Hair Dryer,Physical,8,39.99,75,Compact and powerful hair dryer,8
9,Gaming Laptop,Physical,4,1599.99,15,High-performance gaming laptop,1
10,Dining Table Set,Physical,5,499.99,10,Modern dining table set with 4 chairs,4
11,Nike Running Shoes,Physical,7,89.99,50,Lightweight running shoes,7
12,Cookware Set,Physical,2,199.99,30,10-piece non-stick cookware set,6
13,Electric Shaver,Physical,8,59.99,80,Rechargeable electric shaver,8
14,Recliner Sofa,Physical,5,799.99,5,Comfortable recliner sofa,4
15,MacBook Pro,Physical,4,2499.99,12,Latest Apple MacBook Pro,1
16,Washing Machine,Physical,2,799.99,20,Front load washing machine,2
17,LED Desk Lamp,Physical,1,19.99,100,Adjustable LED desk lamp,1
18,Smartwatch,Physical,3,299.99,40,Fitness and health tracking smartwatch,3
19,Wireless Earbuds,Physical,1,149.99,60,Noise-canceling wireless earbuds,1
20,Winter Coat,Physical,6,199.99,30,Warm winter coat for women,5
21,Microwave Oven,Physical,2,99.99,40,Compact microwave oven,2
22,Graphic Tablet,Physical,1,199.99,25,Digital drawing tablet for artists,3
23,Bluetooth Speaker,Physical,1,49.99,70,Portable Bluetooth speaker,1
24,Basketball,Physical,10,29.99,80,Official size basketball,7
25,Yoga Mat,Physical,6,19.99,100,Non-slip yoga mat,5
26,Vacuum Cleaner,Physical,2,149.99,30,Bagless vacuum cleaner,2
27,E-Reader,Physical,9,129.99,40,E-reader with adjustable brightness,9
28,PlayStation 5,Physical,1,499.99,20,Next-gen gaming console,1
29,Smart Thermostat,Physical,2,199.99,25,Smart thermostat with app control,2
30,Cordless Drill,Physical,2,89.99,50,Rechargeable cordless drill,2
31,Running Shorts,Physical,6,29.99,60,Lightweight running shorts,7
32,Air Fryer,Physical,2,99.99,30,Oil-free air fryer,2
33,Instant Pot,Physical,2,89.99,25,7-in-1 multi-use pressure cooker,2
34,Mens Suit,Physical,6,299.99,15,Classic mens suit,5
35,Tablet Stand,Physical,1,19.99,100,Adjustable tablet stand,3
36,Office Chair,Physical,5,149.99,20,Ergonomic office chair,4
37,Leather Wallet,Physical,6,39.99,50,Genuine leather wallet,5
38,Digital Camera,Physical,1,699.99,15,Digital camera with 4K video,3
39,Cookbook,Physical,9,24.99,200,Healthy recipes cookbook,9
40,Graphic T-Shirt,Physical,6,19.99,80,100% cotton graphic t-shirt,5
41,Sneakers,Physical,7,59.99,60,Casual sneakers for everyday use,7
42,Blender Bottle,Physical,2,9.99,150,Portable blender bottle,2
43,Wireless Charger,Physical,1,29.99,100,Fast wireless charger pad,1
44,Kids Backpack,Physical,10,19.99,70,Colorful kids backpack,7
45,Desk Organizer,Physical,5,14.99,80,Multi-compartment desk organizer,4
46,Electric Toothbrush,Physical,8,59.99,60,Rechargeable electric toothbrush,8
47,Sun Hat,Physical,6,15.99,100,Wide-brim sun hat,5
48,Pet Bed,Physical,5,49.99,30,Comfortable pet bed,4
49,Bluetooth Headphones,Physical,1,79.99,40,Wireless Bluetooth headphones,1
50,Wine Glasses,Physical,5,39.99,60,Set of 6 wine glasses,4
